TransactionNo,Items,Hour,Weekday,Date/Time,Day Part,Day Type
77,Scandinavian,14,Sunday,10/30/2016 14:35,Afternoon,Weekend
78,Fudge,14,Sunday,10/30/2016 14:42,Afternoon,Weekend
79,Fudge,14,Sunday,10/30/2016 14:45,Afternoon,Weekend
79,Tea,14,Sunday,10/30/2016 14:45,Afternoon,Weekend
79,Coffee,14,Sunday,10/30/2016 14:45,Afternoon,Weekend
79,Muffin,14,Sunday,10/30/2016 14:45,Afternoon,Weekend
80,Frittata,14,Sunday,10/30/2016 14:48,Afternoon,Weekend
80,Bread,14,Sunday,10/30/2016 14:48,Afternoon,Weekend
80,Coffee,14,Sunday,10/30/2016 14:48,Afternoon,Weekend
81,Coffee,8,Monday,10/31/2016 8:28,Morning,Weekday
81,Cake,8,Monday,10/31/2016 8:28,Morning,Weekday
82,Tartine,8,Monday,10/31/2016 8:47,Morning,Weekday
82,Bread,8,Monday,10/31/2016 8:47,Morning,Weekday
83,Coffee,8,Monday,10/31/2016 8:57,Morning,Weekday
83,Bread,8,Monday,10/31/2016 8:57,Morning,Weekday
84,Bread,9,Monday,10/31/2016 9:04,Morning,Weekday
85,Coffee,9,Monday,10/31/2016 9:10,Morning,Weekday
85,Coffee,9,Monday,10/31/2016 9:10,Morning,Weekday
85,Pastry,9,Monday,10/31/2016 9:10,Morning,Weekday
85,Medialuna,9,Monday,10/31/2016 9:10,Morning,Weekday
86,Juice,9,Monday,10/31/2016 9:11,Morning,Weekday
87,Bread,9,Monday,10/31/2016 9:12,Morning,Weekday
88,Coffee,9,Monday,10/31/2016 9:16,Morning,Weekday
88,Coffee,9,Monday,10/31/2016 9:16,Morning,Weekday
88,Jam,9,Monday,10/31/2016 9:16,Morning,Weekday
89,Bread,9,Monday,10/31/2016 9:19,Morning,Weekday
90,Bread,9,Monday,10/31/2016 9:20,Morning,Weekday
90,Coffee,9,Monday,10/31/2016 9:20,Morning,Weekday
91,Tea,9,Monday,10/31/2016 9:22,Morning,Weekday
92,Coffee,9,Monday,10/31/2016 9:27,Morning,Weekday
93,Bread,9,Monday,10/31/2016 9:29,Morning,Weekday
93,Coke,9,Monday,10/31/2016 9:29,Morning,Weekday
94,Coffee,9,Monday,10/31/2016 9:39,Morning,Weekday
94,Coffee,9,Monday,10/31/2016 9:39,Morning,Weekday
95,Tea,9,Monday,10/31/2016 9:43,Morning,Weekday
95,Pastry,9,Monday,10/31/2016 9:43,Morning,Weekday
95,Farm House,9,Monday,10/31/2016 9:43,Morning,Weekday
96,Pastry,9,Monday,10/31/2016 9:46,Morning,Weekday
96,Pastry,9,Monday,10/31/2016 9:46,Morning,Weekday
96,Coffee,9,Monday,10/31/2016 9:46,Morning,Weekday
96,Juice,9,Monday,10/31/2016 9:46,Morning,Weekday
97,Coffee,9,Monday,10/31/2016 9:51,Morning,Weekday
97,Pastry,9,Monday,10/31/2016 9:51,Morning,Weekday
97,Juice,9,Monday,10/31/2016 9:51,Morning,Weekday
98,Farm House,9,Monday,10/31/2016 9:52,Morning,Weekday
99,Pastry,9,Monday,10/31/2016 9:56,Morning,Weekday
99,Pastry,9,Monday,10/31/2016 9:56,Morning,Weekday
99,Coffee,9,Monday,10/31/2016 9:56,Morning,Weekday
99,Bread,9,Monday,10/31/2016 9:56,Morning,Weekday
100,Bread,9,Monday,10/31/2016 9:58,Morning,Weekday
101,Coffee,10,Monday,10/31/2016 10:04,Morning,Weekday
101,Pastry,10,Monday,10/31/2016 10:04,Morning,Weekday
102,Farm House,10,Monday,10/31/2016 10:04,Morning,Weekday
103,Bread,10,Monday,10/31/2016 10:07,Morning,Weekday
104,Coffee,10,Monday,10/31/2016 10:12,Morning,Weekday
104,Coffee,10,Monday,10/31/2016 10:12,Morning,Weekday
104,Medialuna,10,Monday,10/31/2016 10:12,Morning,Weekday
104,Muffin,10,Monday,10/31/2016 10:12,Morning,Weekday
104,Coffee,10,Monday,10/31/2016 10:12,Morning,Weekday
105,Coffee,10,Monday,10/31/2016 10:21,Morning,Weekday
105,Tea,10,Monday,10/31/2016 10:21,Morning,Weekday
105,Cake,10,Monday,10/31/2016 10:21,Morning,Weekday
106,Coffee,10,Monday,10/31/2016 10:24,Morning,Weekday
106,Coffee,10,Monday,10/31/2016 10:24,Morning,Weekday
106,Pastry,10,Monday,10/31/2016 10:24,Morning,Weekday
106,Pastry,10,Monday,10/31/2016 10:24,Morning,Weekday
107,Coffee,10,Monday,10/31/2016 10:27,Morning,Weekday
107,Tea,10,Monday,10/31/2016 10:27,Morning,Weekday
108,Farm House,10,Monday,10/31/2016 10:31,Morning,Weekday
108,Muffin,10,Monday,10/31/2016 10:31,Morning,Weekday
109,Bread,10,Monday,10/31/2016 10:35,Morning,Weekday
109,Muffin,10,Monday,10/31/2016 10:35,Morning,Weekday
109,Pastry,10,Monday,10/31/2016 10:35,Morning,Weekday
110,Pastry,10,Monday,10/31/2016 10:36,Morning,Weekday
111,Coffee,10,Monday,10/31/2016 10:38,Morning,Weekday
112,Coffee,10,Monday,10/31/2016 10:59,Morning,Weekday
113,Coffee,11,Monday,10/31/2016 11:02,Morning,Weekday
113,Cake,11,Monday,10/31/2016 11:02,Morning,Weekday
114,Farm House,11,Monday,10/31/2016 11:05,Morning,Weekday
115,Bread,11,Monday,10/31/2016 11:08,Morning,Weekday
116,Coffee,11,Monday,10/31/2016 11:11,Morning,Weekday
117,Cookies,11,Monday,10/31/2016 11:13,Morning,Weekday
117,Cake,11,Monday,10/31/2016 11:13,Morning,Weekday
117,Coffee,11,Monday,10/31/2016 11:13,Morning,Weekday
117,My-5 Fruit Shoot,11,Monday,10/31/2016 11:13,Morning,Weekday
118,Cookies,11,Monday,10/31/2016 11:18,Morning,Weekday
118,Cookies,11,Monday,10/31/2016 11:18,Morning,Weekday
118,Tea,11,Monday,10/31/2016 11:18,Morning,Weekday
118,Pastry,11,Monday,10/31/2016 11:18,Morning,Weekday
119,Coffee,11,Monday,10/31/2016 11:25,Morning,Weekday
119,Coffee,11,Monday,10/31/2016 11:25,Morning,Weekday
119,Muffin,11,Monday,10/31/2016 11:25,Morning,Weekday
120,Farm House,11,Monday,10/31/2016 11:29,Morning,Weekday
121,Coffee,11,Monday,10/31/2016 11:30,Morning,Weekday
121,Bread,11,Monday,10/31/2016 11:30,Morning,Weekday
122,Cookies,11,Monday,10/31/2016 11:37,Morning,Weekday
123,Jam,11,Monday,10/31/2016 11:42,Morning,Weekday
123,Coffee,11,Monday,10/31/2016 11:42,Morning,Weekday
123,Coffee,11,Monday,10/31/2016 11:42,Morning,Weekday
123,Juice,11,Monday,10/31/2016 11:42,Morning,Weekday
124,Coffee,11,Monday,10/31/2016 11:43,Morning,Weekday
124,Soup,11,Monday,10/31/2016 11:43,Morning,Weekday
125,Tea,11,Monday,10/31/2016 11:47,Morning,Weekday
126,Coffee,11,Monday,10/31/2016 11:52,Morning,Weekday
126,Jam,11,Monday,10/31/2016 11:52,Morning,Weekday
127,Farm House,11,Monday,10/31/2016 11:53,Morning,Weekday
128,Tartine,11,Monday,10/31/2016 11:55,Morning,Weekday
128,Coffee,11,Monday,10/31/2016 11:55,Morning,Weekday
128,Tea,11,Monday,10/31/2016 11:55,Morning,Weekday
129,Coffee,11,Monday,10/31/2016 11:59,Morning,Weekday
129,Coffee,11,Monday,10/31/2016 11:59,Morning,Weekday
129,Cake,11,Monday,10/31/2016 11:59,Morning,Weekday
130,Coffee,12,Monday,10/31/2016 12:03,Afternoon,Weekday
130,Coffee,12,Monday,10/31/2016 12:03,Afternoon,Weekday
130,Muffin,12,Monday,10/31/2016 12:03,Afternoon,Weekday
131,Bread,12,Monday,10/31/2016 12:08,Afternoon,Weekday
131,Coffee,12,Monday,10/31/2016 12:08,Afternoon,Weekday
132,Tea,12,Monday,10/31/2016 12:14,Afternoon,Weekday
132,Juice,12,Monday,10/31/2016 12:14,Afternoon,Weekday
132,Pick and Mix Bowls,12,Monday,10/31/2016 12:14,Afternoon,Weekday
132,Cookies,12,Monday,10/31/2016 12:14,Afternoon,Weekday
133,Hearty & Seasonal,12,Monday,10/31/2016 12:16,Afternoon,Weekday
133,Soup,12,Monday,10/31/2016 12:16,Afternoon,Weekday
134,Hearty & Seasonal,12,Monday,10/31/2016 12:19,Afternoon,Weekday
134,Tea,12,Monday,10/31/2016 12:19,Afternoon,Weekday
134,Farm House,12,Monday,10/31/2016 12:19,Afternoon,Weekday
135,Bread,12,Monday,10/31/2016 12:20,Afternoon,Weekday
136,Tea,12,Monday,10/31/2016 12:27,Afternoon,Weekday
136,Soup,12,Monday,10/31/2016 12:27,Afternoon,Weekday
137,Farm House,12,Monday,10/31/2016 12:37,Afternoon,Weekday
138,Soup,12,Monday,10/31/2016 12:43,Afternoon,Weekday
138,Hearty & Seasonal,12,Monday,10/31/2016 12:43,Afternoon,Weekday
138,Coffee,12,Monday,10/31/2016 12:43,Afternoon,Weekday
139,Bread,12,Monday,10/31/2016 12:50,Afternoon,Weekday
139,Muffin,12,Monday,10/31/2016 12:50,Afternoon,Weekday
139,Hearty & Seasonal,12,Monday,10/31/2016 12:50,Afternoon,Weekday
140,Coffee,12,Monday,10/31/2016 12:53,Afternoon,Weekday
140,Coffee,12,Monday,10/31/2016 12:53,Afternoon,Weekday
140,Cookies,12,Monday,10/31/2016 12:53,Afternoon,Weekday
141,Bread,12,Monday,10/31/2016 12:54,Afternoon,Weekday
142,Tea,12,Monday,10/31/2016 12:56,Afternoon,Weekday
142,Muffin,12,Monday,10/31/2016 12:56,Afternoon,Weekday
143,Tea,12,Monday,10/31/2016 12:59,Afternoon,Weekday
144,Soup,13,Monday,10/31/2016 13:02,Afternoon,Weekday
144,Hearty & Seasonal,13,Monday,10/31/2016 13:02,Afternoon,Weekday
145,Coffee,13,Monday,10/31/2016 13:05,Afternoon,Weekday
145,Tea,13,Monday,10/31/2016 13:05,Afternoon,Weekday
145,Focaccia,13,Monday,10/31/2016 13:05,Afternoon,Weekday
146,Sandwich,13,Monday,10/31/2016 13:08,Afternoon,Weekday
147,Tartine,13,Monday,10/31/2016 13:09,Afternoon,Weekday
147,Coffee,13,Monday,10/31/2016 13:09,Afternoon,Weekday
148,Fudge,13,Monday,10/31/2016 13:21,Afternoon,Weekday
148,Coffee,13,Monday,10/31/2016 13:21,Afternoon,Weekday
148,Coffee,13,Monday,10/31/2016 13:21,Afternoon,Weekday
149,Coffee,13,Monday,10/31/2016 13:26,Afternoon,Weekday
150,Bread,13,Monday,10/31/2016 13:31,Afternoon,Weekday
151,Coke,13,Monday,10/31/2016 13:50,Afternoon,Weekday
151,Soup,13,Monday,10/31/2016 13:50,Afternoon,Weekday
152,Muffin,13,Monday,10/31/2016 13:51,Afternoon,Weekday
153,Tea,13,Monday,10/31/2016 13:55,Afternoon,Weekday
153,Coffee,13,Monday,10/31/2016 13:55,Afternoon,Weekday
153,Cookies,13,Monday,10/31/2016 13:55,Afternoon,Weekday
153,Muffin,13,Monday,10/31/2016 13:55,Afternoon,Weekday
154,Mighty Protein,14,Monday,10/31/2016 14:00,Afternoon,Weekday
154,Hearty & Seasonal,14,Monday,10/31/2016 14:00,Afternoon,Weekday
154,Coffee,14,Monday,10/31/2016 14:00,Afternoon,Weekday
154,Coke,14,Monday,10/31/2016 14:00,Afternoon,Weekday
155,Tea,14,Monday,10/31/2016 14:01,Afternoon,Weekday
155,Muffin,14,Monday,10/31/2016 14:01,Afternoon,Weekday
155,Sandwich,14,Monday,10/31/2016 14:01,Afternoon,Weekday
156,Coffee,14,Monday,10/31/2016 14:04,Afternoon,Weekday
156,Muffin,14,Monday,10/31/2016 14:04,Afternoon,Weekday
157,Coffee,14,Monday,10/31/2016 14:05,Afternoon,Weekday
157,Bread,14,Monday,10/31/2016 14:05,Afternoon,Weekday
158,Coffee,14,Monday,10/31/2016 14:20,Afternoon,Weekday
158,Muffin,14,Monday,10/31/2016 14:20,Afternoon,Weekday
159,Bread,14,Monday,10/31/2016 14:22,Afternoon,Weekday
159,Hot chocolate,14,Monday,10/31/2016 14:22,Afternoon,Weekday
159,Cookies,14,Monday,10/31/2016 14:22,Afternoon,Weekday
160,Mineral water,14,Monday,10/31/2016 14:35,Afternoon,Weekday
160,Muffin,14,Monday,10/31/2016 14:35,Afternoon,Weekday
161,Tea,14,Monday,10/31/2016 14:42,Afternoon,Weekday
162,Muffin,14,Monday,10/31/2016 14:44,Afternoon,Weekday
163,Coffee,14,Monday,10/31/2016 14:47,Afternoon,Weekday
163,Juice,14,Monday,10/31/2016 14:47,Afternoon,Weekday
164,Coffee,14,Monday,10/31/2016 14:47,Afternoon,Weekday
164,Muffin,14,Monday,10/31/2016 14:47,Afternoon,Weekday
165,Tea,14,Monday,10/31/2016 14:48,Afternoon,Weekday
166,Coffee,14,Monday,10/31/2016 14:49,Afternoon,Weekday
166,Muffin,14,Monday,10/31/2016 14:49,Afternoon,Weekday
167,Sandwich,14,Monday,10/31/2016 14:50,Afternoon,Weekday
167,Hearty & Seasonal,14,Monday,10/31/2016 14:50,Afternoon,Weekday
167,Bread,14,Monday,10/31/2016 14:50,Afternoon,Weekday
167,Mineral water,14,Monday,10/31/2016 14:50,Afternoon,Weekday
168,Tea,14,Monday,10/31/2016 14:56,Afternoon,Weekday
168,Coffee,14,Monday,10/31/2016 14:56,Afternoon,Weekday
169,Mineral water,15,Monday,10/31/2016 15:05,Afternoon,Weekday
170,Coffee,15,Monday,10/31/2016 15:16,Afternoon,Weekday
171,Soup,15,Monday,10/31/2016 15:20,Afternoon,Weekday
171,Tea,15,Monday,10/31/2016 15:20,Afternoon,Weekday
172,Bread,17,Monday,10/31/2016 17:06,Evening,Weekday
172,Coffee,17,Monday,10/31/2016 17:06,Evening,Weekday
173,Bread,17,Monday,10/31/2016 17:08,Evening,Weekday
173,Muffin,17,Monday,10/31/2016 17:08,Evening,Weekday
174,Coffee,17,Monday,10/31/2016 17:40,Evening,Weekday
175,Bread,17,Monday,10/31/2016 17:49,Evening,Weekday
176,Cookies,18,Monday,10/31/2016 18:22,Evening,Weekday
176,Coffee,18,Monday,10/31/2016 18:22,Evening,Weekday
178,Coffee,7,Monday,1/11/2016 7:51,Morning,Weekday
178,Pastry,7,Monday,1/11/2016 7:51,Morning,Weekday
179,Coffee,8,Monday,1/11/2016 8:20,Morning,Weekday
179,Pastry,8,Monday,1/11/2016 8:20,Morning,Weekday
180,Jam,8,Monday,1/11/2016 8:22,Morning,Weekday
180,Tea,8,Monday,1/11/2016 8:22,Morning,Weekday
181,Tea,8,Monday,1/11/2016 8:45,Morning,Weekday
181,Tea,8,Monday,1/11/2016 8:45,Morning,Weekday
182,Pastry,9,Monday,1/11/2016 9:07,Morning,Weekday
182,Pastry,9,Monday,1/11/2016 9:07,Morning,Weekday
182,Ella's Kitchen Pouches,9,Monday,1/11/2016 9:07,Morning,Weekday
183,Pastry,9,Monday,1/11/2016 9:09,Morning,Weekday
184,Farm House,9,Monday,1/11/2016 9:26,Morning,Weekday
184,Tea,9,Monday,1/11/2016 9:26,Morning,Weekday
185,Tea,9,Monday,1/11/2016 9:29,Morning,Weekday
185,Victorian Sponge,9,Monday,1/11/2016 9:29,Morning,Weekday
186,Tea,9,Monday,1/11/2016 9:43,Morning,Weekday
186,Pastry,9,Monday,1/11/2016 9:43,Morning,Weekday
187,Bread,10,Monday,1/11/2016 10:02,Morning,Weekday
188,Coffee,10,Monday,1/11/2016 10:04,Morning,Weekday
189,Bread,10,Monday,1/11/2016 10:29,Morning,Weekday
189,Coffee,10,Monday,1/11/2016 10:29,Morning,Weekday
190,Coffee,10,Monday,1/11/2016 10:34,Morning,Weekday
190,Pastry,10,Monday,1/11/2016 10:34,Morning,Weekday
190,Pastry,10,Monday,1/11/2016 10:34,Morning,Weekday
191,Soup,10,Monday,1/11/2016 10:50,Morning,Weekday
191,Tea,10,Monday,1/11/2016 10:50,Morning,Weekday
192,Bread,10,Monday,1/11/2016 10:56,Morning,Weekday
193,Coffee,11,Monday,1/11/2016 11:00,Morning,Weekday
194,Bread,11,Monday,1/11/2016 11:04,Morning,Weekday
194,Bread,11,Monday,1/11/2016 11:04,Morning,Weekday
195,Bread,11,Monday,1/11/2016 11:06,Morning,Weekday
195,Scandinavian,11,Monday,1/11/2016 11:06,Morning,Weekday
196,Bread,11,Monday,1/11/2016 11:08,Morning,Weekday
196,Cake,11,Monday,1/11/2016 11:08,Morning,Weekday
